site_id,road
臺北市中山區,長春路
臺北市中山區,龍江路
臺北市中山區,中山北路
臺北市中山區,中山南路
臺北市中山區,中華路
臺北市中山區,仁愛路
臺北市中山區,信義路
臺北市中正區,光復南路
臺北市中正區,八德路
臺北市中正區,公園路
臺北市中正區,北平東路
臺北市中正區,北平西路
臺北市中正區,南昌路
臺北市中正區,南海路
臺北市中正區,博愛路
臺北市中正區,和平西路
臺北市中正區,寶慶路
臺北市中正區,師大路
臺北市中正區,延平南路
臺北市中正區,徐州路
臺北市中正區,忠孝東路
臺北市中正區,忠孝西路
臺北市中正區,愛國東路
臺北市中正區,愛國西路
臺北市中正區,新生南路
臺北市中正區,杭州北路
臺北市中正區,杭州南路
臺北市中正區,林森北路
臺北市中正區,林森南路
臺北市中正區,水源路
臺北市中正區,汀州路
臺北市中正區,濟南路
臺北市中正區,羅斯福路
臺北市中正區,莒光路
臺北市中正區,衡陽路
臺北市中正區,襄陽路
臺北市中正區,西藏路
臺北市中正區,辛亥路
臺北市中正區,鄭州路
臺北市中正區,重慶南路
臺北市中正區,金山北路
臺北市中正區,金山南路
臺北市中正區,青島東路
臺北市中正區,青島西路
臺北市中正區,館前路
臺北市中正區,五原路
臺北市中正區,南京西路
臺北市內湖區,基隆路
臺北市內湖區,基湖路
臺北市內湖區,安康路
臺北市內湖區,康寧路
臺北市內湖區,成功路
臺北市內湖區,文德路
臺北市內湖區,新明路
臺北市內湖區,新湖一路
臺北市內湖區,新湖三路
臺北市內湖區,新湖二路
臺北市內湖區,東湖路
臺北市內湖區,民權東路
臺北市內湖區,港墘路
臺北市內湖區,瑞光路
臺北市內湖區,環山路
臺北市內湖區,石潭路
臺北市內湖區,碧山路
臺北市內湖區,舊宗路
臺北市內湖區,行善路
臺北市內湖區,行忠路
臺北市內湖區,行愛路
臺北市內湖區,金湖路
臺北市內湖區,金莊路
臺北市內湖區,金龍路
臺北市內湖區,中山北路
臺北市文山區,南京東路
臺北市文山區,仙岩路
臺北市文山區,保儀路
臺北市文山區,光輝路
臺北市文山區,和平東路
臺北市文山區,和興路
臺北市文山區,富山路
臺北市文山區,指南路
臺北市文山區,新光路
臺北市文山區,景興路
臺北市文山區,木新路
臺北市文山區,木柵路
臺北市文山區,汀州路
臺北市文山區,福興路
臺北市文山區,秀明路
臺北市文山區,羅斯福路
臺北市文山區,興德路
臺北市文山區,興隆路
臺北市文山區,萬壽路
臺北市文山區,萬芳路
臺北市文山區,試院路
臺北市文山區,車前路
臺北市文山區,辛亥路
臺北市文山區,三重路
臺北市文山區,中坡北路
臺北市文山區,中坡南路
臺北市北投區,一心路
臺北市北投區,中央北路
臺北市北投區,中央南路
臺北市北投區,中山北路
臺北市北投區,中山路
臺北市北投區,中興路
臺北市北投區,光明路
臺北市北投區,公舘路
臺北市北投區,北投路
臺北市北投區,大屯路
臺北市北投區,大度路
臺北市北投區,大業路
臺北市北投區,天母北路
臺北市北投區,天母西路
臺北市北投區,奇岩路
臺北市北投區,奉賢路
臺北市北投區,學園路
臺北市北投區,宜山路
臺北市北投區,富貴一路
臺北市北投區,崇仁路
臺北市北投區,崇仰一路
臺北市北投區,崇仰七路
臺北市北投區,崇仰三路
臺北市北投區,崇仰九路
臺北市北投區,崇仰二路
臺北市北投區,崇仰五路
臺北市北投區,崇仰六路
臺北市北投區,崗山路
臺北市北投區,幽雅路
臺北市北投區,建民路
臺北市北投區,復興一路
臺北市北投區,復興三路
臺北市北投區,復興二路
臺北市北投區,復興四路
臺北市北投區,承德路
臺北市北投區,文化三路
臺北市北投區,文林北路
臺北市北投區,新民路
臺北市北投區,新興路
臺北市北投區,明德路
臺北市北投區,杏林一路
臺北市北投區,杏林三路
臺北市北投區,杏林二路
臺北市北投區,東昇路
臺北市北投區,榮華一路
臺北市北投區,榮華三路
臺北市北投區,榮華二路
臺北市北投區,樹林路
臺北市北投區,永興路
臺北市北投區,泉源路
臺北市北投區,清江路
臺北市北投區,湖山路
臺北市北投區,湖底路
臺北市北投區,溫泉路
臺北市北投區,珠海路
臺北市北投區,登山路
臺北市北投區,知行路
臺北市北投區,石仙路
臺北市北投區,石牌路
臺北市北投區,磺港路
臺北市北投區,福善路
臺北市北投區,福美路
臺北市北投區,秀山路
臺北市北投區,稻香路
臺北市北投區,立德路
臺北市北投區,立賢路
臺北市北投區,竹子湖路
臺北市北投區,紗帽路
臺北市北投區,翠宜路
臺北市北投區,翠嶺路
臺北市北投區,聖景路
臺北市北投區,育仁路
臺北市北投區,致遠一路
臺北市北投區,致遠三路
臺北市北投區,致遠二路
臺北市北投區,行義路
臺北市北投區,裕民一路
臺北市北投區,裕民三路
臺北市北投區,裕民二路
臺北市北投區,裕民六路
臺北市北投區,裕民四路
臺北市北投區,豐年路
臺北市北投區,進賢路
臺北市北投區,重三路
臺北市北投區,長壽路
臺北市北投區,關渡路
臺北市北投區,陽明路
臺北市北投區,隱潭路
臺北市松山區,三民路
臺北市松山區,復興北路
臺北市松山區,復興南路
臺北市松山區,敦化北路
臺北市松山區,敦化南路
臺北市松山區,東寧路
臺北市松山區,東興路
臺北市松山區,民族東路
臺北市松山區,民權東路
臺北市松山區,民生東路
臺北市松山區,長安東路
臺北市松山區,長春路
臺北市松山區,中坡北路
臺北市松山區,中坡南路
臺北市松山區,仁愛路
臺北市松山區,信義路
臺北市松山區,光復南路
臺北市松山區,和平東路
臺北市松山區,基隆路
臺北市松山區,大道路
臺北市信義區,市府路
臺北市信義區,忠孝東路
臺北市信義區,東興路
臺北市信義區,松仁路
臺北市信義區,松信路
臺北市信義區,松勇路
臺北市信義區,松壽路
臺北市信義區,松山路
臺北市信義區,松平路
臺北市信義區,松廉路
臺北市信義區,松德路
臺北市信義區,松智路
臺北市信義區,松隆路
臺北市信義區,松高路
臺北市信義區,永吉路
臺北市信義區,莊敬路
臺北市信義區,菸廠路
臺北市信義區,逸仙路
臺北市信義區,仁愛路
臺北市信義區,信義路
臺北市信義區,光復南路
臺北市信義區,八德路
臺北市信義區,和平東路
臺北市信義區,四維路
臺北市信義區,基隆路
臺北市信義區,大安路
臺北市信義區,安和路
臺北市南港區,吉祥路
臺北市南港區,八德路
臺北市南港區,南深路
臺北市南港區,南港路
臺北市南港區,同德路
臺北市南港區,向陽路
臺北市南港區,忠孝東路
臺北市南港區,成功路
臺北市南港區,成福路
臺北市南港區,永吉路
臺北市南港區,研究院路
臺北市南港區,經貿一路
臺北市南港區,經貿二路
臺北市南港區,興中路
臺北市南港區,興華路
臺北市南港區,重陽路
臺北市南港區,內湖路
臺北市南港區,南京東路
臺北市萬華區,北寧路
臺北市萬華區,富民路
臺北市萬華區,康定路
臺北市萬華區,忠孝西路
臺北市萬華區,成都路
臺北市萬華區,桂林路
臺北市萬華區,水源路
臺北市萬華區,汀州路
臺北市萬華區,環河南路
臺北市萬華區,莒光路
臺北市萬華區,萬大路
臺北市萬華區,西園路
臺北市萬華區,西寧南路
臺北市萬華區,西藏路
臺北市萬華區,青年路
臺北市萬華區,下崙路
臺北市萬華區,中崙路
